id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45295907,Surfers' Room | Private Version,283979066,Legasea,Cascais,Cascais e Estoril,38.69905,-9.42265,Private room,170,1,0,,,8,147
45297181,Storybook Charm in Lisbon,203773123,Innkeeper,Lisboa,Arroios,38.72938,-9.13989,Entire home/apt,65,2,1,2021-01-08,0.16,33,0
45297559,Artsy Apartment by Innkeeper,203773123,Innkeeper,Lisboa,Arroios,38.73257,-9.13834,Entire home/apt,156,3,2,2021-04-18,0.43,33,0
45304306,STUPENDO-1BR-air conditioning-Center-Free park,330969628,Carlos,Lisboa,Penha de Frana,38.73333,-9.12957,Entire home/apt,76,1,12,2021-07-06,1.50,3,215
45306210,Vintage Campervan - Mercedes 407 II,142175068,Alena,Lisboa,Olivais,38.76423,-9.12747,Entire home/apt,76,5,1,2020-10-09,0.11,6,294
45307024,THE miniPENTHOUSE terrace & SPA,101935696,Carlos,Oeiras,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",38.69285,-9.29797,Entire home/apt,170,2,18,2021-06-13,2.48,1,195
45307437,HomeySuite in Vila Marisa - Beach and Pool Apt,102336875,Ricardo,Cascais,Carcavelos e Parede,38.68736,-9.35505,Entire home/apt,160,2,9,2020-09-17,0.94,8,169
45310947,Cozy hourse-A private bathroom and kitchen yard,66158277,Polo,Lisboa,Arroios,38.72084,-9.13506,Entire home/apt,29,7,13,2021-04-30,1.42,4,159
45312073,Hostel closed down,340456159,Imad,Lisboa,Arroios,38.72764,-9.13685,Shared room,888,1,0,,,5,365
45312442,Hostel closed down,340456159,Imad,Lisboa,Arroios,38.72921,-9.13546,Shared room,888,1,1,2020-09-26,0.10,5,365
45312614,Hostel closed down,340456159,Imad,Lisboa,Arroios,38.72859,-9.13688,Private room,888,1,1,2020-09-28,0.10,5,365
45314865,Brand new twin sharing room facing Tagus river,358768824,Ajit,Lisboa,Marvila,38.7461,-9.10397,Shared room,18,2,2,2020-09-28,0.20,2,365
45315730,Cozy house-B private entrance and kitchen bathroom,66158277,Polo,Lisboa,Arroios,38.72084,-9.13557,Entire home/apt,55,1,4,2021-01-01,0.40,4,128
45315994,House-C private bathroom kitchen washing machine,66158277,Polo,Lisboa,Arroios,38.72078,-9.13524,Entire home/apt,50,1,0,,,4,127
45317011,STUPENDO-2BR-Patio&RefreshingPond-A/C-Center-Park,330969628,Carlos,Lisboa,Arroios,38.73316,-9.13208,Entire home/apt,184,1,17,2021-06-05,1.88,3,184
45317256,STUPENDO-3BR-Suit&Terrace-A/C-Center-FreePark,330969628,Carlos,Lisboa,Arroios,38.73318,-9.13212,Entire home/apt,160,1,8,2021-05-22,0.95,3,219
45323286,Spacious private room in Lisbon,68726005,Rohel,Lisboa,Arroios,38.73189,-9.13783,Private room,19,3,2,2020-12-31,0.23,2,160
45326588,St. George Hills Studio 2,120054701,Thomas,Lisboa,Santa Maria Maior,38.71614,-9.13395,Entire home/apt,52,1,7,2021-06-28,4.38,15,165
45327444,Alfama studio by Innkeeper,203773123,Innkeeper,Lisboa,Santa Maria Maior,38.71187,-9.12688,Entire home/apt,62,2,0,,,33,0
45327488,"Idyllic Alfama Apartments, by the River",21019651,Elsa And Rui,Lisboa,So Vicente,38.71324,-9.12564,Entire home/apt,219,2,4,2021-04-11,1.45,24,326
45327601,Travessa 02,366387554,Santisabel,Lisboa,Campo de Ourique,38.71996,-9.15975,Entire home/apt,35,2,2,2020-09-25,0.21,5,135
45328705,Graca Lisboa Arts Host,315037,Em,Lisboa,So Vicente,38.71874,-9.12452,Private room,20,1,0,,,2,0
45328746,CDesterro 02,366387554,Santisabel,Lisboa,Santa Maria Maior,38.7187,-9.13557,Entire home/apt,50,2,4,2020-10-15,0.42,5,169
45330619,St. George Hills Studio 3,120054701,Thomas,Lisboa,Santa Maria Maior,38.71779,-9.13414,Entire home/apt,50,1,1,2020-09-26,0.10,15,188
45330929,St. George Hills 4,120054701,Thomas,Lisboa,Santa Maria Maior,38.71562,-9.13399,Entire home/apt,59,1,2,2021-06-12,1.82,15,177
45332612,Exciting Lisbon Filipe da Mata,15282851,Ana,Lisboa,Avenidas Novas,38.74221,-9.16195,Entire home/apt,109,2,0,,,4,365
45333311,"Cozy, comfortable, sunny and close to the beach",339172172,Ana,Cascais,Cascais e Estoril,38.70187,-9.38826,Private room,30,2,2,2020-09-26,0.20,3,159
45340887,ERICEIRA Ocean View - BEACH Apartment,34174314,Allyson,Mafra,Ericeira,38.96089,-9.41705,Entire home/apt,120,3,0,,,1,45
45342987,Ericeira Paradise House&Suites - Twin Room,344546018,Ericeira Paradise,Mafra,Ericeira,38.97276,-9.41821,Private room,53,2,9,2021-06-28,0.97,5,220
45343187,Ericeira Paradise House&Suites -  Family Room,344546018,Ericeira Paradise,Mafra,Ericeira,38.97356,-9.41904,Private room,46,2,0,,,5,207
